Altium Designer Pick and Place Locations
D:\ADcreate\CSUEAF4\Project Outputs for CSUEAF4\Pick Place for CSUEAF4.csv

========================================================================================================================
File Design Information:

Date:       30/01/20
Time:       17:19
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)"
"P1","Header 3X2","TopLayer","HDR2X3","91.0146","79.5845","360","Header, 3-Pin, Dual row","88.4745","78.3146","88.4745","78.3146"
"P2","Header 20X2","TopLayer","HDR2X20","76.2700","50.8700","270","Header, 20-Pin, Dual row","75.0000","75.0000","75.0000","75.0000"
"P3","Header 20X2","TopLayer","HDR2X20","26.2700","50.8700","270","Header, 20-Pin, Dual row","25.0000","75.0000","25.0000","75.0000"
"P4","HC-SR04/US-100","TopLayer","HDR1X5","51.5620","93.3450","180","超声波测距模块","56.6420","93.3450","56.6420","93.3450"
"P5","HS0038","TopLayer","HDR1X3","51.4350","17.9070","360","Header, 3-Pin","48.8950","17.9070","48.8950","17.9070"
"R1","10K","TopLayer","R0603","83.8327","74.6460","180","Resistor","84.7090","74.6460","84.7090","74.6460"
"R2","10K","TopLayer","R0603","83.8327","76.8350","0","Resistor","82.9564","76.8350","82.9564","76.8350"
"R3","10K","TopLayer","R0603","12.0777","14.4780","360","Resistor","11.2014","14.4780","11.2014","14.4780"
"R4","10K","TopLayer","R0603","21.2090","66.4337","270","Resistor","21.2090","67.3100","21.2090","67.3100"
"R5","4.7K","TopLayer","R0603","21.1963","73.4060","180","Resistor","22.0726","73.4060","22.0726","73.4060"
"R6","1K","TopLayer","R0603","10.6807","49.8960","180","Resistor","11.5570","49.8960","11.5570","49.8960"
"R7","330","TopLayer","R0603","2.9210","25.9207","90","Resistor","2.9210","25.0444","2.9210","25.0444"
"R8","1K","TopLayer","R0603","2.9210","36.1061","90","Resistor","2.9210","35.2298","2.9210","35.2298"
"R9","1K","TopLayer","R0603","50.8000","21.6883","90","Resistor","50.8000","20.8120","50.8000","20.8120"
"R13","1K","TopLayer","R0603","48.8950","21.6883","270","Resistor","48.8950","22.5646","48.8950","22.5646"
"R10","10K","BottomLayer","R0603","66.5480","48.6283","270","Resistor","66.5480","49.5046","66.5480","49.5046"
"R11","4.7K","TopLayer","R0603","28.7147","91.0590","360","Resistor","27.8384","91.0590","27.8384","91.0590"
"R12","10K","TopLayer","R0603","28.7147","88.3260","360","Resistor","27.8384","88.3260","27.8384","88.3260"
"S1","SWITCH-6","TopLayer","自锁开关","11.2731","59.7600","270","自锁开关","11.2370","59.7600","9.0231","61.7600"
"SW1","SW","TopLayer","按键微动开关2","13.7160","9.0410","180","Single-Pole, Single-Throw Switch","13.7160","9.0170","16.2160","9.0410"
"U1","STM32F407VET6","TopLayer","LQFP100","50.5460","55.6260","90","","50.5460","55.6260","44.5460","47.8760"
"U2","NRF24L01","TopLayer","2.54排针2X4","85.9790","92.9640","270","NRF24L01模块排母","84.7090","96.7740","84.7090","96.7740"
"U3","AMS1117-3V3","TopLayer","SOT223","16.6370","45.3885","270","三端稳压芯片","16.6370","45.3885","13.6870","47.6885"
"U4","CH340G","TopLayer","SOIC16","13.9370","71.3740","180","","16.6370","66.9290","16.6370","66.9290"
"U5","W25Q80BL","BottomLayer","W25Q-SO8","64.6430","55.5430","90","","66.5480","51.9430","66.5480","51.9430"
"V1","NPN","TopLayer","SOT-23","21.2090","70.1040","180","NPN Bipolar Transistor","21.2090","70.1040","22.1590","71.2540"
"V2","NPN","TopLayer","SOT-23","24.3840","87.5030","90","NPN Bipolar Transistor","24.3840","87.5030","25.5340","86.5530"
"Y1","32KHz","TopLayer","OSC-2x6-WI-B","65.0875","33.1470","270","Crystal Oscillator","61.0870","33.1470","61.3410","32.5120"
"Y2","8MHz","TopLayer","OSC-HC-49S","52.8320","32.8750","360","Crystal Oscillator","52.8320","32.8750","50.3820","32.8750"
"Y3","12MHz","TopLayer","OSC-HC-49S","13.8636","82.0500","360","Crystal Oscillator","13.8636","82.0500","11.4136","82.0500"
